Method,Parcellation,Density,Feature,Region,Control_normalized,Gifted_normalized,Diff_gifted_minus_controls
MIND,aparc,0.03,Participation Coefficient,rh_rostralanteriorcingulate,0.0,0.0,0.0
MIND,aparc,0.03,Participation Coefficient,rh_rostralmiddlefrontal,0.0,0.0,0.0
MIND,aparc,0.03,Participation Coefficient,rh_superiorfrontal,1.0,0.9970291937951077,-0.002970806204892318
MIND,aparc,0.03,Participation Coefficient,rh_superiorparietal,0.0,0.0,0.0
MIND,aparc,0.03,Participation Coefficient,rh_superiortemporal,0.0,0.0,0.0
MIND,aparc,0.03,Participation Coefficient,rh_supramarginal,0.0,0.0,0.0
MIND,aparc,0.03,Participation Coefficient,rh_temporalpole,0.0,0.0,0.0
MIND,aparc,0.03,Participation Coefficient,rh_transversetemporal,0.0,0.0,0.0
MIND,aparc,0.03,Node Versatility,lh_bankssts,0.04086516413784473,0.06600075359625611,0.025135589458411378
MIND,aparc,0.03,Node Versatility,lh_caudalanteriorcingulate,0.2038182751392232,0.1825660076152292,-0.021252267523994006
MIND,aparc,0.03,Node Versatility,lh_caudalmiddlefrontal,0.03740956577797306,0.19458327229621672,0.15717370651824367
MIND,aparc,0.03,Node Versatility,lh_cuneus,0.006575148471834002,0.030128236588490488,0.023553088116656486
MIND,aparc,0.03,Node Versatility,lh_entorhinal,0.10342615648136576,0.08681338612807277,-0.01661277035329299
MIND,aparc,0.03,Node Versatility,lh_frontalpole,0.11565516014589418,0.08681338612807277,-0.02884177401782141
MIND,aparc,0.03,Node Versatility,lh_fusiform,0.4875328485086576,0.051398710851455094,-0.4361341376572025
MIND,aparc,0.03,Node Versatility,lh_inferiorparietal,0.14385608947780376,0.22078578206911856,0.0769296925913148
MIND,aparc,0.03,Node Versatility,lh_inferiortemporal,0.41353551612607486,0.4914039042459728,0.07786838811989794
MIND,aparc,0.03,Node Versatility,lh_insula,0.04086516413784473,0.06600075359625611,0.025135589458411378
MIND,aparc,0.03,Node Versatility,lh_isthmuscingulate,0.2038182751392232,0.1825660076152292,-0.021252267523994006
MIND,aparc,0.03,Node Versatility,lh_lateraloccipital,0.006575148471834002,0.030128236588490488,0.023553088116656486
MIND,aparc,0.03,Node Versatility,lh_lateralorbitofrontal,0.36378509414181043,0.46992848254606273,0.1061433884042523
MIND,aparc,0.03,Node Versatility,lh_lingual,0.006575148471834002,0.030128236588490488,0.023553088116656486
MIND,aparc,0.03,Node Versatility,lh_medialorbitofrontal,0.19427506135973355,0.46997146587233596,0.2756964045126024
MIND,aparc,0.03,Node Versatility,lh_middletemporal,0.5513589203680492,0.25510028113350985,-0.2962586392345394
MIND,aparc,0.03,Node Versatility,lh_paracentral,0.09778985693005782,0.0,-0.09778985693005782
MIND,aparc,0.03,Node Versatility,lh_parahippocampal,0.4875328485086576,0.051398710851455094,-0.4361341376572025
MIND,aparc,0.03,Node Versatility,lh_parsopercularis,0.03740956577797306,0.2031318880704107,0.16572232229243763
MIND,aparc,0.03,Node Versatility,lh_parsorbitalis,0.11565516014589418,0.4792277455067466,0.36357258536085246
MIND,aparc,0.03,Node Versatility,lh_parstriangularis,0.03740956577797306,0.19854351765876863,0.16113395188079557
MIND,aparc,0.03,Node Versatility,lh_pericalcarine,0.006575148471834002,0.030128236588490488,0.023553088116656486
MIND,aparc,0.03,Node Versatility,lh_postcentral,0.004158905781928735,0.13038626968820624,0.1262273639062775
MIND,aparc,0.03,Node Versatility,lh_posteriorcingulate,0.2038182751392232,0.1825660076152292,-0.021252267523994006
MIND,aparc,0.03,Node Versatility,lh_precentral,0.09778985693005782,0.0,-0.09778985693005782
MIND,aparc,0.03,Node Versatility,lh_precuneus,0.054460931944283975,0.262979895566635,0.208518963622351
MIND,aparc,0.03,Node Versatility,lh_rostralanteriorcingulate,0.36378509414181043,0.46992848254606273,0.1061433884042523
